"Time_Iter","Outer_Iter","Inner_Iter",    "rms[Rho]"    ,    "rms[RhoU]"   ,    "rms[RhoV]"   ,    "rms[RhoE]"   ,     "rms[k]"     ,     "rms[w]"     
          0,           0,          55,      -4.010748253,      -1.597114552,      -2.023425692,       1.024894507,      -2.226458142,        4.07669239
          0,           0,          56,      -4.015578308,      -1.600570247,      -2.015945449,       1.042030686,      -2.233322832,       4.028774062
          0,           0,          57,      -4.023750892,      -1.599279649,      -2.020460268,       1.041310875,      -2.236900304,       3.991528309
          0,           0,          58,      -4.035719297,      -1.599458163,      -2.043717422,       1.015650121,      -2.242226747,       3.970480682
          0,           0,          59,      -4.050039848,      -1.604950311,      -2.084877589,      0.9657281138,      -2.252432608,       3.966821623
          0,           0,          60,      -4.064204273,      -1.615965357,      -2.136251619,      0.8987574835,      -2.267439705,       3.977201221
          0,           0,          61,      -4.075947585,      -1.629854883,      -2.183652536,      0.8305036046,      -2.284450969,       3.995676156
          0,           0,          62,      -4.084354753,      -1.642854446,       -2.21324873,      0.7812120078,      -2.299561226,       4.015994791
          0,           0,          63,      -4.090042396,      -1.652233565,      -2.224260547,      0.7572312029,      -2.310005928,       4.032973141
          0,           0,          64,      -4.094396114,       -1.65773169,      -2.228900937,      0.7435399037,       -2.31570797,       4.043034492
          0,           0,          65,      -4.098607063,       -1.66116939,      -2.239395969,      0.7222036796,      -2.318831186,       4.044253648
          0,           0,          66,      -4.103194293,      -1.664789799,      -2.260873078,      0.6852794566,      -2.321952257,       4.036067252
          0,           0,          67,      -4.108106155,      -1.669856411,      -2.291539971,       0.635823314,      -2.326565734,       4.018944712
          0,           0,          68,      -4.113094485,      -1.676250498,      -2.324684591,      0.5873961459,      -2.332706987,       3.994377534
          0,           0,          69,      -4.118054906,      -1.682946915,      -2.352324629,      0.5579508765,      -2.339468921,       3.964938628
          0,           0,          70,      -4.123138368,      -1.688878675,      -2.370694932,      0.5525873827,      -2.345854051,       3.934053367
          0,           0,          71,      -4.128620412,      -1.693632284,      -2.382859678,       0.557735511,       -2.35144577,        3.90553416
          0,           0,          72,      -4.134675958,      -1.697583867,      -2.395122153,      0.5571948049,      -2.356518995,       3.882772219
          0,           0,          73,      -4.141234684,      -1.701509457,      -2.412023142,       0.542739581,      -2.361681676,       3.867799463
          0,           0,          74,      -4.147988515,      -1.706045949,       -2.43431135,      0.5136217403,      -2.367380689,       3.860857533
          0,           0,          75,      -4.154521375,      -1.711358226,      -2.459495243,      0.4743653304,      -2.373606736,       3.860584539
          0,           0,          76,       -4.16048569,      -1.717142806,       -2.48382869,      0.4330004523,      -2.379927436,       3.864565587
          0,           0,          77,      -4.165726814,      -1.722881036,      -2.504909321,      0.3976238501,      -2.385755303,        3.87004352
          0,           0,          78,      -4.170296636,      -1.728150097,       -2.52313383,      0.3715045375,      -2.390668726,       3.874522266
          0,           0,          79,      -4.174375969,      -1.732813327,      -2.540643329,       0.351841501,      -2.394587613,       3.876122875
          0,           0,          80,      -4.178172544,       -1.73701186,      -2.558847067,      0.3342372911,      -2.397734831,       3.873721035
          0,           0,          81,       -4.18185379,      -1.741012312,      -2.576713546,      0.3174732903,      -2.400455202,       3.866937951
          0,           0,          82,       -4.18553236,      -1.745036705,      -2.590988038,      0.3043920809,      -2.403029164,        3.85604512
          0,           0,          83,       -4.18928468,      -1.749171556,      -2.598406651,      0.2990411833,      -2.405583133,       3.841853028
          0,           0,          84,      -4.193171471,      -1.753378412,      -2.598552705,      0.3023888468,      -2.408104947,       3.825612189
